대분류코드,대분류명
01,미곡류
02,맥류
03,두류
04,잡곡류
05,서류
06,과실류
07,수실류
08,과일과채류
09,과채류
10,엽경채류
11,근채류
12,조미채소류
13,양채류
14,산채류
15,농산물 종자류
16,특용작물류
17,버섯류
18,인삼류
19,약용작물류
20,화목류
21,초화류
22,난류
23,선인장/다육식물류
24,숙근류
25,구근류
26,관엽식물류
27,화훼종자류
28,기타화훼
29,산림종묘
30,수목류
31,목재류
32,합판.보드류
33,목재부산물
34,임산부산물
35,토.석류
36,절화류
37,관상수류
41,생축(가축)류
42,기타생축류
43,국내산육류
44,수입육류
45,기타육류
46,우유 및 유제품
47,기타동물생산물
49,비식용생산물
50,배합사료
51,양식용 어류사료
52,식물성단미사료
53,동물성단미사료
54,광물성단미사료
55,보조사료
56,조사료
57,"정액,수정란,종란"
58,"사료, 목초종자"
61,활 해면어류
62,활 해면패류
63,활 해면갑각류
64,활 해면연체류
65,활 해면기타
66,활 내수면어류
67,활 내수면기타
68,(활) 내수면기타
69,(활) 내수면패류
6A,(활) 내수면 갑각류
6B,(활) 내수면 연체류
6C,(활) 내수면 조류
6D,(활) 내수면 양서류
6E,(활) 내수면 파충류
6Z,(활) 기타
71,신선 해면어류
72,신선 해면패류
73,신선 해면갑각류
74,신선 해면연체류
75,신선 해면기타
76,신선 해조류
77,신선 내수면어류
78,신선 내수면기타
79,(신선) 내수면패류
7A,(신선) 내수면 갑각류
7B,(신선) 내수면 연체류
7C,(신선) 내수면 조류
7D,(신선) 내수면 양서류
7E,(신선) 내수면 파충류
7Z,(신선) 기타
81,냉동 해면어류
82,냉동 해면패류
83,냉동 해면갑각류
84,냉동 해면연체류
85,냉동 해면기타
86,냉동 내수면어류
87,냉동 내수면기타
88,(냉동) 내수면기타
89,건제품
8A,(냉동) 내수면 갑각류
8B,(냉동) 내수면 연체류
8C,(냉동) 내수면 조류
8D,(냉동) 내수면 양서류
8E,(냉동) 내수면 파충류
8Z,(냉동) 기타
91,농림가공
92,축산가공
93,수산가공
96,약재류
98,GMO농산물
99,LMO농산물
9Z,테스트
A1,(건) 해면어류
A2,(건) 해면패류
A3,(건) 해면갑각류
A4,(건) 해면연체류
A5,(건) 해면기타
A6,(건) 해조류
A7,(건) 내수면어류
A8,(건) 내수면기타
A9,(건) 내수면패류
AA,(건) 내수면 갑각류
AB,(건) 내수면 연체류
AC,(건) 내수면 조류
AD,(건) 내수면 양서류
AE,(건) 내수면 파충류
AZ,(건) 기타
B1,(염장) 해면어류
B2,(염장) 해면패류
B3,(염장) 해면갑각류
B4,(염장) 해면연체류
B5,(염장) 해면기타
B6,(염장) 해조류
B7,(염장) 내수면어류
B8,(염장) 내수면기타
B9,(염장) 내수면패류
BA,(염장) 내수면 갑각류
BB,(염장) 내수면 연체류
BC,(염장) 내수면 조류
BD,(염장) 내수면 양서류
BE,(염장) 내수면 파충류
BZ,(염장) 기타
C1,(조미) 해면어류
C2,(조미) 해면패류
C3,(조미) 해면갑각류
C4,(조미) 해면연체류
C5,(조미) 해면기타
C6,(조미) 해조류
C7,(조미) 내수면어류
C8,(조미) 내수면기타
C9,(조미) 내수면패류
CA,(조미) 내수면 갑각류
CB,(조미) 내수면 연체류
CC,(조미) 내수면 조류
CD,(조미) 내수면 양서류
CE,(조미) 내수면 파충류
CZ,(조미) 기타
D1,(통조림) 해면어류
D2,(통조림) 해면패류
D3,(통조림) 해면갑각류
D4,(통조림) 해면연체류
D5,(통조림) 해면기타
D6,(통조림) 해조류
D7,(통조림) 내수면어류
D8,(통조림) 내수면기타
D9,(통조림) 내수면패류
DA,(통조림) 내수면 갑각류
DB,(통조림) 내수면 연체류
DC,(통조림) 내수면 조류
DD,(통조림) 내수면 양서류
DE,(통조림) 내수면 파충류
DZ,(통조림) 기타
EZ,(연제품) 기타
F6,(한천) 해조류
G1,(어유) 해면어류
H1,(어분) 해면어류
I1,(어비) 해면어류
