대분류코드,중분류코드,중분류명
01,00,미곡류(일반)
01,01,벼
01,02,밭벼
01,03,쌀
01,04,찹쌀
01,05,찰벼
01,06,현미
01,07,총체벼
01,99,기타
02,00,맥류(일반)
02,01,보리
02,02,보리쌀
02,03,밀
02,04,밀쌀
02,05,호밀
02,06,귀리
02,99,기타
03,00,두류(일반)
03,01,콩
03,02,팥
03,03,녹두
03,04,완두
03,05,강낭콩
03,06,동부
03,07,잠두
03,08,칼콩
03,09,제비콩
03,10,병아리콩
03,11,렌틸콩
03,99,기타
04,00,잡곡류(일반)
04,01,옥수수
04,02,조
04,03,수수
04,04,메밀
04,05,기장
04,06,피
04,07,율무
04,99,기타
05,00,서류(일반)
05,01,감자
05,02,고구마
05,03,야콘
05,04,카사바
05,05,얌빈(히카마)
05,99,기타
06,00,과실류(일반)
06,01,사과
06,02,배
06,03,포도
06,04,복숭아
06,05,단감
06,06,떫은감
06,07,곶감
06,08,자두
06,09,모과
06,10,살구
06,11,참다래(키위)
06,12,바나나
06,13,파인애플
06,14,감귤
06,15,만감
06,16,탄제린
06,17,레몬
06,18,오렌지
06,19,자몽
06,20,유자
06,21,금감
06,22,오디
06,23,버찌
06,24,석류
06,25,매실
06,26,앵두
06,27,무화과
06,28,으름
06,29,수구리
06,30,산사
06,31,아몬드
06,32,피스타치오
06,33,탱자
06,34,아보카도
06,35,야자
06,36,망고
06,37,망고스턴
06,38,코코넛
06,39,보리수
06,40,체리모야
06,41,비파
06,42,리치
06,43,용안
06,44,듀리안
06,45,패션푸룻
06,46,파파야
06,47,구와바
06,48,페이조아
06,49,사포딜라
06,50,스타애플
06,51,빵나무
06,52,잭프룻
06,53,포포
06,54,아세로라
06,55,아보케이트
06,56,선인장열매
06,57,체리
06,58,용과
06,59,블루베리
06,60,람부탄
06,61,롱간
06,62,오로브랑코
06,63,아로니아
06,64,블랙베리
06,65,아사이베리
06,66,칼슘나무
06,67,블랙커런트
06,68,하스카프
06,69,불수감
06,70,흑노호
06,71,플럼코트
06,72,카무카무
06,74,혼합과실
06,75,플루오트
06,76,구즈베리
06,77,체리자두
06,78,구스베리
06,80,구아바
06,81,깔라만시
06,99,기타
07,00,수실류(일반)
07,01,밤
07,02,대추
07,03,잣
07,04,호두
07,05,은행
07,06,도토리
07,07,개암
07,08,머루
07,09,다래
07,10,피칸
07,11,캐슈넛
07,12,떫은감
07,13,곶감
07,99,기타
08,00,과일과채류(일반)
08,01,수박
08,02,참외
08,03,토마토
08,04,딸기
08,05,메론
08,06,방울토마토
08,99,기타
09,00,과채류(일반)
09,01,오이
09,02,호박
09,03,가지
09,04,박
09,05,백과
09,99,기타
10,00,엽경채류(일반)
10,01,배추
10,02,얼갈이배추
10,03,봄동배추
10,04,양배추
10,05,상추
10,06,열무
10,07,순무
10,08,시금치
10,09,미나리
10,10,부추
10,11,깻잎
10,12,쑥갓
10,13,갓
10,14,근대
10,15,아욱
10,16,콩나물
10,17,숙주나물
10,18,냉이
10,19,고구마순
10,20,달래
10,21,비름
10,22,고들빼기
10,23,토란대
10,24,머위대
10,25,고추잎
10,26,호박잎
10,27,돗나물
10,28,신선초
10,29,씀바귀
10,30,쑥
10,31,청경채
10,32,춘채
10,33,가지나무순
10,34,명아주
10,35,동초
10,36,우엉대
10,37,속새
10,38,삼엽채
10,39,무순
10,40,피마자잎
10,41,가죽나물
10,42,묵나물
10,43,무청
10,44,모시대
10,45,음나무순
10,46,얼래지
10,47,수리취
10,48,족도리풀
10,50,겨자채
10,51,쌈추
10,52,고수
10,53,콩잎
10,54,피망잎
10,55,메밀순
10,56,보리순
10,57,시레기
10,58,가랏
10,59,함초
10,61,모시잎
10,62,겨자잎
10,63,어린잎
10,64,카이란
10,65,귀리순
10,66,아티초크
10,67,다채
10,68,몰로키아
10,69,루콜라
10,70,부지깽이
10,99,기타
11,00,근채류(일반)
11,01,무
11,02,알타리무
11,03,당근
11,04,우엉
11,05,연근
11,06,토란
11,07,삼채
11,99,기타
12,00,조미채소류(일반)
12,01,양파
12,02,대파
12,03,쪽파
12,04,실파
12,05,풋고추
12,06,꽈리고추
12,07,건고추
12,08,홍고추
12,09,마늘
12,10,생강
12,11,염교(락교)
12,12,양하
12,13,방아
12,14,신초
12,15,고추냉이
12,16,겨자
12,17,할라피뇨
12,18,루바브
12,99,기타
13,00,양채류(일반)
13,01,양상추
13,02,피망(단고추)
13,03,치커리
13,04,셀러리(양미나리)
13,05,적채
13,06,브로코리(녹색꽃양배추)
13,07,케일
13,08,파세리(향미나리)
13,09,방울양배추(스프로스)
13,10,빈스
13,11,비트(붉은사탕무우)
13,12,칼리플라워(꽃양배추)
13,13,사보래(사보이양배추)
13,14,콜라비(순무양배추)
13,15,아스파라가스
13,16,컴프리
13,17,크레송(고추무냉이)
13,18,양가지
13,19,알파파싹
13,20,가든클래스
13,21,오크라
13,22,레드쉬
13,23,알로애
13,24,교나
13,25,비타민
13,26,파프리카
13,27,식용허브
13,28,로메인
13,29,커민
13,30,루꼴라
13,31,팍치라오
13,32,타이가지
13,33,라디초우
13,34,쌈채
13,35,조나
13,36,미니코스
13,37,홍현채
13,38,보혈채
13,39,공심채
13,40,잎당귀
13,41,레드케비취
13,42,설채
