대분류코드,중분류코드,소분류코드,소분류명
01,01,00,벼
01,01,01,일반계
01,01,02,통일계
01,01,03,햇일반계
01,01,04,홍벼
01,01,99,기타벼
01,02,00,밭벼
01,02,01,밭벼(일반)
01,02,02,신규
01,03,00,쌀
01,03,01,일반미(쌀 일반)
01,03,02,청결미
01,03,03,품질인증미
01,03,04,혼합미
01,03,05,흑미
01,03,06,기타유색미
01,03,07,향미
01,03,08,양조미
01,03,09,대립미
01,03,10,사용불가
01,03,11,쑥쌀
01,03,12,사용불가
01,03,13,멥쌀
01,03,14,쌀(쇄미)
01,03,15,쌀겨(미강)
01,03,16,발아유색미(기타)
01,03,17,발아흑미
01,03,98,쌀(수입)
01,03,99,기타쌀
01,04,00,찹쌀
01,04,01,찹쌀(일반)
01,04,02,현미찹쌀
01,04,03,발아찰현미
01,04,99,기타찹쌀
01,05,00,찰벼
01,05,01,찰벼(일반)
01,05,02,흑벼
01,05,03,찰흑벼
01,06,01,현미(일반)
01,06,02,현미쑥쌀
01,06,03,메현미
01,06,04,찰현미
01,06,05,흑현미
01,06,06,발아현미
01,06,07,찰흑미
01,06,08,흑향미
01,06,09,쌀겨
01,06,99,기타현미
01,07,01,총체벼(일반)
01,99,00,미곡류기타
01,99,99,기타
02,01,00,보리
02,01,01,보리(일반)
02,01,02,쌀보리
02,01,03,맥주보리
02,01,04,발아보리
02,01,05,겉보리
02,01,06,검정보리
02,01,98,볶은보리
02,01,99,기타보리
02,02,00,보리쌀
02,02,01,겉보리쌀
02,02,02,쌀보리쌀
02,02,03,맥주보리쌀
02,02,04,찰보리쌀
02,02,05,늘보리쌀
02,02,06,할맥
02,02,07,압맥
02,02,99,기타보리쌀
02,03,00,밀
02,03,01,밀(일반)
02,03,02,발아밀
02,03,03,카무트
02,03,04,새싹밀
02,03,05,스펠트밀
02,03,99,기타
02,04,00,밀쌀
02,04,01,밀쌀(일반)
02,05,00,호밀
02,05,01,호밀(일반)
02,06,00,귀리
02,06,01,귀리(일반)
02,06,02,귀리순
02,99,00,맥류기타
03,01,00,콩
03,01,01,콩(일반)
03,01,02,황태
03,01,03,청태
03,01,04,흑태
03,01,05,선비태
03,01,06,아주까리콩
03,01,07,서리태
03,01,08,밤콩
03,01,09,콩나물콩
03,01,10,풋콩
03,01,11,풋청태
03,01,12,약콩
03,01,13,갓끈콩
03,01,14,양태
03,01,15,장단콩
03,01,16,울콩
03,01,17,발아콩
03,01,18,백태
03,01,19,호랑이콩
03,01,20,알록콩
03,01,21,서목태
03,01,96,울콩(수입)
03,01,97,백태(수입)
03,01,98,콩(수입)
03,01,99,기타콩
03,02,00,팥
03,02,01,팥(일반)
03,02,02,검정팥
03,02,03,개구리팥
03,02,04,흰팥
03,02,05,발아팥
03,02,06,붉은팥
03,02,96,개구리팥(수입)
03,02,97,붉은팥(수입)
03,02,98,팥(수입)
03,02,99,기타팥
03,03,00,녹두
03,03,01,녹두(일반)
03,03,02,무광녹두
03,03,03,발아녹두
03,03,04,유광녹두
03,03,98,녹두(수입)
03,03,99,기타녹두
03,04,00,완두
03,04,01,완두(일반)
03,04,02,피완두
03,04,03,풋완두
03,04,04,깐완두
03,04,98,완두(수입)
03,04,99,기타완두
03,05,00,강낭콩
03,05,01,강낭콩(일반)
03,05,02,풋강낭콩
03,05,03,줄콩
03,05,05,빨간콩
03,05,06,넝쿨콩
03,05,98,강낭콩(수입)
03,05,99,기타강낭콩
03,06,00,동부
03,06,01,동부(일반)
03,06,02,풋동부
03,06,98,동부(수입)
03,06,99,기타동부
03,07,01,잠두(일반)
03,08,01,칼콩(일반)
03,09,01,제비콩(일반)
03,10,01,병아리콩(일반)
03,11,01,렌틸콩(일반)
03,99,00,두류기타
03,99,01,잠두
03,99,02,칼콩
03,99,03,제비콩
03,99,04,타마린드
03,99,98,두류(수입)
03,99,99,기타기타
04,01,00,옥수수
04,01,01,곡실옥수수
04,01,02,찰옥수수
04,01,03,풋옥수수
04,01,04,팝콘옥수수
04,01,05,옥수수쌀
04,01,06,미백
04,01,07,단옥수수
04,01,08,발아옥수수
04,01,09,감미옥수수
04,01,96,옥수수수염
04,01,97,볶은옥수수
04,01,98,옥수수(수입)
04,01,99,기타옥수수
04,02,00,조
04,02,01,조(일반)
04,02,02,차조(일반)
04,02,03,메좁쌀
04,02,04,차좁쌀
04,02,05,좁쌀
04,02,06,발아조
04,02,07,메조
04,02,97,차조(수입)
04,02,98,조(수입)
04,02,99,기타조
04,03,00,수수
04,03,01,수수(일반)
04,03,02,찰수수
04,03,03,수수쌀
04,03,04,발아수수
04,03,05,메수수
04,03,98,수수(수입)
04,03,99,기타수수
04,04,00,메밀
04,04,01,메밀(일반)
04,04,02,메밀(수입)
04,04,98,메밀(수입)
04,05,00,기장
04,05,01,기장(일반)
04,05,02,기장쌀
04,05,98,기장(수입)
04,05,99,기타
04,06,00,피
04,06,01,피(일반)
04,07,00,율무
04,07,01,일반율무
04,07,02,개량율무
04,07,03,율무쌀
04,07,99,기타율무
04,99,00,잡곡류기타
04,99,01,아마란스
04,99,98,기타잡곡류(수입)
04,99,99,잡곡류(기타)
05,01,00,감자
05,01,01,수미
05,01,02,남작
05,01,03,대지
05,01,04,세풍
05,01,05,조풍
05,01,06,남서
05,01,07,대서
05,01,08,홍깨니백
05,01,09,선농
05,01,10,자주감자
05,01,11,가을감자
05,01,12,고냉지
05,01,13,두백
05,01,14,봄감자
05,01,15,조림감자
05,01,16,추백감자
05,01,17,호박감자
05,01,18,홍감자
05,01,19,답리작
05,01,20,맘모스
05,01,21,돼지감자
05,01,24,깐감자
05,01,25,아피오스
05,01,26,탐나
05,01,98,감자(수입)
05,01,99,기타감자
05,02,00,고구마
05,02,01,밤고구마
05,02,02,물고구마
05,02,03,절간고구마
05,02,04,호박고구마
05,02,05,자주고구마
05,02,06,붉은고구마
05,02,07,황금고구마
05,02,08,당근고구마
05,02,09,건고구마
05,02,10,풍원미
05,02,11,소담미
05,02,97,밤고구마(수입)
05,02,98,고구마(수입)
05,02,99,기타
05,03,00,야콘
05,03,01,야콘(일반)
05,04,01,카사바(일반)
05,04,99,카사바(기타)
05,05,01,얌빈(히카마)(일반)
05,99,00,서류기타
05,99,99,서류(기타)
06,01,00,사과
06,01,01,홍옥
06,01,02,골덴
06,01,03,후지
06,01,04,아오리
06,01,05,육오
06,01,06,세계일
06,01,07,태양
06,01,08,착색후지
06,01,09,노변
06,01,10,조나골드
06,01,11,천추
06,01,12,홍월
06,01,13,모리스
06,01,14,양광
06,01,15,사이삼
06,01,16,북두
06,01,17,홍로
06,01,18,혜
06,01,19,산사
06,01,20,추향
06,01,21,야다까
06,01,22,국광
06,01,23,인도
06,01,24,어리브레이스
06,01,25,왕령
06,01,26,스타크림숀
06,01,27,데리셔스
06,01,28,축
06,01,29,감홍
06,01,30,송본금
06,01,31,시나노스위트
06,01,32,OBIR
06,01,33,요까
06,01,34,추광
06,01,35,하향
06,01,36,홍장군
06,01,37,화홍
06,01,38,히로사끼
06,01,39,미시마
06,01,40,미얀마
06,01,41,선홍
06,01,42,나리따
06,01,43,시나노레드
06,01,44,아이카향
06,01,45,로얄부사
06,01,46,기꾸8
06,01,47,알프스오토메
06,01,48,채향
06,01,49,서광
06,01,50,갈라
06,01,51,그라니스미스
06,01,52,글로스터
06,01,53,금광
06,01,54,금왕자
06,01,55,롬뷰티
