그룹,품목명,산지대분류,산지중분류,산지품목명,산지대응,산지근거,부류코드,부류명,품목코드,품목명_perDay,품종코드,품종명,소매대응,근거,검수
A,복숭아,06,04,복숭아,확정,코드표에 같은 이름이 하나뿐이다,400,,413,복숭아,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,참외,08,02,참외,확정,코드표에 같은 이름이 하나뿐이다,200,,222,참외,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,풋고추,12,05,풋고추,확정,코드표에 같은 이름이 하나뿐이다,200,,242,풋고추,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,포도,06,03,포도,확정,코드표에 같은 이름이 하나뿐이다,400,,414,포도,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,수박,08,01,수박,확정,코드표에 같은 이름이 하나뿐이다,200,,221,수박,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,오이,09,01,오이,확정,코드표에 같은 이름이 하나뿐이다,200,,223,오이,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,사과,06,01,사과,사람판정,"과실류 산지 1,094 · 도매 568건. 19/I9 약용작물류는 0건",400,,411,사과,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,깻잎,10,11,깻잎,확정,코드표에 같은 이름이 하나뿐이다,200,,253,깻잎,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,토마토,08,03,토마토,확정,코드표에 같은 이름이 하나뿐이다,200,,225,토마토,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,호박,09,02,호박,확정,코드표에 같은 이름이 하나뿐이다,200,,224,호박,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,감자,05,01,감자,확정,코드표에 같은 이름이 하나뿐이다,100,,152,감자,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,상추,10,05,상추,확정,코드표에 같은 이름이 하나뿐이다,200,,214,상추,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,가지,09,03,가지,확정,코드표에 같은 이름이 하나뿐이다,200,,251,가지,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,바나나,06,12,바나나,확정,코드표에 같은 이름이 하나뿐이다,400,,418,바나나,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,방울토마토,08,06,방울토마토,확정,코드표에 같은 이름이 하나뿐이다,200,,422,방울토마토,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,부추,10,10,부추,확정,코드표에 같은 이름이 하나뿐이다,200,,254,부추,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,양파,12,01,양파,확정,코드표에 같은 이름이 하나뿐이다,200,,245,양파,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,열무,10,06,열무,확정,코드표에 같은 이름이 하나뿐이다,200,,233,열무,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,무,11,01,무,확정,코드표에 같은 이름이 하나뿐이다,200,,231,무,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,배추,10,01,배추,확정,코드표에 같은 이름이 하나뿐이다,200,,211,배추,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,배,06,02,배,확정,코드표에 같은 이름이 하나뿐이다,400,,412,배,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,양배추,10,04,양배추,확정,코드표에 같은 이름이 하나뿐이다,200,,212,양배추,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,얼갈이배추,10,02,얼갈이배추,확정,코드표에 같은 이름이 하나뿐이다,200,,215,얼갈이배추,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,청경채,10,31,청경채,확정,코드표에 같은 이름이 하나뿐이다,200,,263,청경채,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,새송이버섯,17,11,새송이,사람판정,코드표 이름은 「새송이」. 17/02는 양송이로 다른 품목이다,300,,317,새송이버섯,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,팽이버섯,17,05,팽이버섯,확정,코드표에 같은 이름이 하나뿐이다,300,,316,팽이버섯,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,표고버섯,17,04,표고버섯,확정,코드표에 같은 이름이 하나뿐이다,300,,322,표고버섯,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,감귤,06,14,감귤,확정,코드표에 같은 이름이 하나뿐이다,400,,415,감귤,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,고구마,05,02,고구마,확정,코드표에 같은 이름이 하나뿐이다,100,,151,고구마,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,당근,11,03,당근,확정,코드표에 같은 이름이 하나뿐이다,200,,232,당근,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,레몬,06,17,레몬,확정,코드표에 같은 이름이 하나뿐이다,400,,424,레몬,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,멜론,08,05,메론,사람판정,코드표 표기가 「메론」이다. 같은 품목,200,,257,멜론,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,파인애플,06,13,파인애플,확정,코드표에 같은 이름이 하나뿐이다,400,,420,파인애플,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,파프리카,13,26,파프리카,확정,코드표에 같은 이름이 하나뿐이다,200,,256,파프리카,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,생강,12,10,생강,확정,코드표에 같은 이름이 하나뿐이다,200,,247,생강,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,시금치,10,08,시금치,확정,코드표에 같은 이름이 하나뿐이다,200,,213,시금치,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,양상추,13,01,양상추,확정,코드표에 같은 이름이 하나뿐이다,200,,262,양상추,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
A,체리,06,57,체리,확정,코드표에 같은 이름이 하나뿐이다,400,,425,체리,,,완전일치,perDay 카탈로그에서 이름 완전일치 · 1행,
