시군구코드,시장코드,시장명
1101,0110200,서울
1101,0110211,가락도매
1101,0110212,경동
1101,0110213,복조리
1101,0110242,터미날
1101,0110251,영등포
1101,0110252,동대문
1101,0110253,양곡도매
1101,0110254,중부
1101,0110401,F-유통
1101,0110402,A-유통
1101,0110403,C-유통
1101,0110404,R-마트
1101,0110405,G-유통
1101,0110406,B-유통
1101,0110407,K-유통
1101,0110408,E-유통
1101,0110409,I-유통
1101,0110410,L-유통
1101,0110411,B`-유통
1101,0400001,A-SSM
1101,0400002,B-전문점
1101,0400003,A-전문점
1101,0400004,A-생협
1101,0400005,A-백화점
1101,0400006,A-대형마트
1101,0400007,C-SSM
1101,0400008,B-백화점
1101,0400009,B-생협
1101,0400026,C-대형마트
1101,0400027,C-전문점
1101,0400031,C-생협
1101,0400032,D-생협
1101,0400035,D-전문점
1101,0400038,D-백화점
1101,0400045,D-SSM
1101,0400046,B-SSM
1101,0800001,A-슈퍼마켓
1101,0800002,B-SSM
1101,0900001,CC-유통
1101,0900002,BB-유통
1101,0900003,EE-유통
1101,0900004,AA-유통
1101,0900005,BB1-유통
1101,0900036,EE1-유통
1101,0900039,M-유통
1101,0900040,M'-유통
1101,1000006,가락소매
2100,0210000,부산
2100,0210022,부전
2100,0210031,공동어
2100,0210032,남포동건어물
2100,0210042,엄궁도매
2100,0210051,수정
2100,0210401,A-유통
2100,0210402,D-유통
2100,0210403,B-유통
2100,0210404,H-유통
2100,0400010,B-전문점
2100,0400011,A-대형마트
2100,0400012,A-SSM
2100,0400013,A-백화점
2100,0400036,A-전문점
2100,0400039,E-SSM
2100,0800003,A-슈퍼마켓
2100,0800004,D-SSM
2100,0900006,AA-유통
2100,0900007,BB-유통
2100,0900008,DD-유통
2100,0900009,DD1-유통
2200,0220000,대구
2200,0220021,북부도매
2200,0220023,서문
2200,0220024,칠성
2200,0220061,서남
2200,0220062,동구
2200,0220063,남문
2200,0220401,C-유통
2200,0220402,B-유통
2200,0220403,A-유통
2200,0220404,E-유통
2200,0400014,B-전문점
2200,0400015,B-대형마트
2200,0400016,A-백화점
2200,0400017,A-SSM
2200,0400028,B-SSM
2200,0400040,A-직매장
2200,0400047,B-생협
2200,0800005,C-SSM
2200,0800006,A-SSM
2200,0900010,CC-유통
2200,0900011,EE-유통
2200,0900012,AA-유통
2200,0900013,DD-유통
2300,0230000,인천
2300,0230036,현대
2300,0230401,E-유통
2300,0900014,AA-유통
2401,0240100,광주
2401,0240103,광주원협
2401,0240121,양동
2401,0240122,각화도매
2401,0240123,서부도매
2401,0240141,대인
2401,0240142,서방
2401,0240401,A-유통
2401,0240402,E-유통
2401,0240403,C-유통
2401,0400018,B-전문점
2401,0400019,A-백화점
2401,0400020,A-대형마트
2401,0400021,A-SSM
2401,0400030,B-SSM
2401,0400033,A-생협
2401,0400037,E-전문점
2401,0400041,B-직매장
2401,0800007,C-SSM
2401,0800008,A-슈퍼마켓
2401,0900015,EE-유통
2401,0900016,BB2-유통
2401,0900017,CC-유통
2401,0900018,BB3-유통
2401,0900037,BB-유통
2501,0250100,대전
2501,0250112,역전
2501,0250113,오정도매
2501,0250114,인동
2501,0250115,중앙
2501,0250116,중부
2501,0250401,C-유통
2501,0250402,E-유통
2501,0250403,A-유통
2501,0400022,C-백화점
2501,0400023,B-대형마트
2501,0400024,B-전문점
2501,0400025,B-SSM
2501,0400029,C-대형마트
2501,0400034,B-생협
2501,0400042,C-직매장
2501,0800009,A-SSM
2501,0800010,B-SSM
2501,0900019,CC-유통
2501,0900020,EE-유통
2501,0900021,AA-유통
2501,0900022,BB-유통
2501,0900038,EE1-유통
2601,0260001,신정
2601,0260100,울산
2601,0260401,A-유통
2601,0260402,B-유통
2601,0900023,CC-유통
2701,0270101,C-유통
2701,0900024,CC-유통
2701,0900025,EE-유통
3111,0310001,지동
3111,0310402,B-유통
3111,0311100,수원
3111,0900026,AA-유통
3112,0310407,B-유통
3113,0312401,A-유통
3113,0900031,EE-유통
3113,0900032,AA-유통
3138,0310404,B-유통
3138,0310405,J-유통
3145,0310403,E-유통
3145,0310406,C-유통
3211,0320001,중앙
3211,0320401,E-유통
3211,0321100,춘천
3211,0900027,BB-유통
3214,0321400,강릉
3214,0321401,중앙
3214,0321411,A-유통
3214,0900035,BB-유통
3311,0330001,육거리
3311,0330401,B-유통
3311,0331100,청주
3311,0900028,CC-유통
3312,0331200,충주
3411,0340401,C-유통
3511,0350001,남부
3511,0350401,C-유통
3511,0351100,전주
3512,0351200,군산
3611,0361100,목포
3613,0360401,A-유통
3613,0360402,역전
3613,0900029,EE-유통
3711,0370001,죽도
3711,0370401,E-유통
3711,0900034,DD-유통
3714,0372401,C-유통
3714,0900030,BB-유통
3811,0381100,마산
3814,0380001,상남
3814,0380101,공동어시장
3814,0380401,B-유통
3814,0380402,C-유통
3814,0900033,DD-유통
3818,0380403,A-유통
3911,0390001,동문
3911,0390401,C-유통
3911,0390403,E-유통
3911,0391100,제주
9998,0400043,A-온라인
9998,0400044,B-온라인
9998,1000001,온라인몰A
9998,1000002,온라인몰I
9998,1000003,온라인몰E
9998,1000004,옥션
9998,1000005,온라인몰C
9998,1000007,온라인몰B
9998,1000008,온라인몰D
9998,1000009,온라인몰F
9998,1000010,온라인몰G
9998,1000011,온라인몰H
