부류코드,품목코드,품종코드,품종명
100,111,01,20kg
100,111,02,백미
100,111,03,현미
100,111,05,20kg(햅쌀)
100,111,10,10kg
100,111,11,10kg(햅쌀)
100,112,01,일반계
100,113,00,혼합곡
100,114,01,기장
100,121,02,과맥
100,141,01,흰 콩(국산)
100,141,02,콩나물콩
100,141,03,흰 콩(수입)
100,142,00,붉은 팥(국산)
100,142,01,붉은 팥(수입)
100,143,00,국산
100,143,01,수입
100,144,01,메밀(수입)
100,151,00,밤
100,152,00,감자
100,152,01,수미(노지)
100,152,02,대지마
100,152,03,노지
100,152,04,수미(시설)
100,152,05,기타(시설)
100,152,06,기타(노지)
100,161,01,귀리
100,162,01,보리
100,163,01,수수
100,164,01,율무
200,211,01,봄
200,211,02,여름(고랭지)
200,211,03,가을
200,211,06,월동
200,212,00,양배추
200,213,00,시금치
200,214,01,적
200,214,02,청
200,215,00,얼갈이배추
200,216,00,갓
200,217,01,연근
200,218,01,우엉
200,221,00,수박
200,222,00,참외
200,223,01,가시계통
200,223,02,다다기계통
200,223,03,취청
200,224,01,애호박
200,224,02,쥬키니
200,224,03,단호박
200,225,00,토마토
200,226,00,딸기
200,231,01,봄
200,231,02,고랭지
200,231,03,가을
200,231,06,월동
200,232,00,당근
200,232,01,무세척
200,232,02,세척
200,232,10,세척(수입)
200,233,00,열무
200,241,00,화건
200,241,01,햇산화건
200,241,02,양건(~23.5)
200,241,03,햇산양건(~23.5)
200,241,10,수입
200,242,00,풋고추(녹광 등)
200,242,02,꽈리고추
200,242,03,청양고추
200,242,04,오이맛고추
200,243,00,붉은고추
200,244,01,한지1접
200,244,02,난지1접
200,244,03,한지
200,244,04,난지
200,244,06,햇한지1접
200,244,07,햇난지1접
200,244,08,쪽마늘
200,244,11,햇한지
200,244,12,햇난지
200,244,21,햇난지(대서)
200,244,22,난지(대서)
200,244,23,햇난지(남도)
200,244,24,난지(남도)
200,245,00,양파
200,245,02,햇양파
200,245,10,수입
200,246,00,대파
200,246,02,쪽파
200,247,00,국산
200,247,01,수입
200,248,00,국산
200,248,01,중국
200,251,00,가지
200,252,00,미나리
200,253,00,깻잎
200,254,00,부추
200,255,00,청
200,256,00,파프리카
200,257,00,멜론
200,258,01,깐마늘(국산)
200,258,03,깐마늘(대서)
200,258,04,햇깐마늘(대서)
200,258,05,깐마늘(남도)
200,258,06,햇깐마늘(남도)
200,259,01,깐마늘(수입)
200,259,03,깐마늘(수입산)
200,261,01,브로콜리
200,262,01,양상추
200,263,01,청경채
200,264,01,케일
200,265,01,콩나물
200,266,01,봄
200,266,02,여름(고랭지)
200,266,03,가을
200,266,04,월동
200,279,00,알배기배추
200,280,00,브로콜리(국산)
200,422,01,방울토마토
200,422,02,대추방울토마토
300,312,01,백색(국산)
300,312,02,중국
300,312,03,인도
300,313,01,국산
300,313,02,수입
300,314,01,국산
300,314,02,수입
300,315,00,느타리버섯
300,315,01,애느타리버섯
300,316,00,팽이버섯
300,317,00,새송이버섯
300,318,00,수입
300,319,00,수입
300,321,01,양송이버섯
300,322,01,표고버섯
300,351,01,중.대륜
300,351,02,소륜
300,351,03,스프레이
300,351,04,스프레이소국
300,352,01,중.대륜
300,352,02,스프레이
300,353,01,쏘니아
300,353,02,마르데보아
300,353,06,달라스
300,353,07,마리나
300,353,08,산드라
300,353,11,노블레스
300,353,12,레드칼립소
300,353,13,비탈
300,353,14,환희
300,353,15,사피아
300,353,16,아쿠아
300,354,01,나팔합외대
300,354,02,나팔합쌍대
300,354,03,틈나리외대
300,354,04,틈나리쌍대
300,355,01,헌팅송
300,355,02,스픽앤드스판
300,355,03,화이트
300,356,01,레드마타온
300,356,02,골든옥스포드
300,356,03,골든아펠둔
300,356,04,스트롱홀드
300,356,05,홀랜디아
300,356,06,미스홀랜드
300,357,00,거베라
300,357,01,포모사
300,357,02,볼가
300,357,03,호프
300,358,01,브리스톨F
300,358,03,길보아
300,358,04,미라벨라
300,358,05,인발
400,411,01,홍옥
400,411,05,후지
400,411,06,쓰가루(아오리)
400,411,07,홍로
400,412,01,신고
400,412,02,만삼길
400,412,03,장십랑
400,412,04,원황
400,413,01,백도
400,413,04,창방조생
400,413,05,유명
400,414,01,캠벨얼리
400,414,02,거봉
400,414,03,델라웨어
400,414,06,MBA
400,414,07,수입
400,414,08,레드글로브 칠레(~23.5)
