공판장코드,공판장명
7428200508,원주원예농협공판장지점2021
3108200558,충서원예농협공판장
5088205164,의성농협공판장
1368208160,하양농협공판장
7718502655,대구태평로공판장
2158547472,가락공판장
1328538154,구리공판장
1098543604,강서공판장
6068548978,부산공판장
7598500002,반여공판장
3188501950,대전공판장
5148527863,광주공판장
4128509458,대구공판장
5048542585,북대구공판장
6098544796,창원공판장
2018541557,안산공판장
1508500020,부산화훼공판장
2148206161,서울양곡공판장
1398200978,인천원예농협구월공판장
1218206573,인천원예삼산공판장
5048201400,대구경북원예농협
1278200484,동두천농협공판장
1248220555,수원원예농협
1388205418,안양원예농협 공판장
1308200272,부천원예농협(공판)
1288213245,한국화훼농협 화훼유통센터(공판)
1288202296,한국화훼농협(공판)
3848200087,한국화훼농협 음성화훼유통센터
1278200596,포천농협공판장
2218200603,춘천원예농협공판장
2248206907,원주원예농협공판장지점
2268212268,대관령원예농협공판사업소
3158202721,충북원예농협청주공판장
3038204139,충북원협충주공판장
3028203044,보은농협경매식집하장
3048206353,제천농협공판장
3058214967,금산인삼협동조합수삼산지집하
3148207626,대전원예농협노은농산물공판장
3078200095,공주농협공판장
3088204847,논산계룡농협농산물공판장
3118200115,예산능금농협공판장
3108203711,충서원협농산물공판장
3128207125,천안농협공판장
4028210938,전주농협공판장
4188206462,전주원협공판장
4078200833,남원원협공판장
4048200173,정읍원예농협공판장
4058200399,부안농협공판장
4058200313,김제원예농업협동조합공판장
4018200719,군산원예농업협동조합
4038208041,익산원협공판장(공판)
4088212410,대촌농협승촌경매식집하장
4168201914,광양원예농협공판장
4178205999,여수원예농협농산물공판장
4178202459,여수원예농협여천공판장
4168216455,순천원예농협도매시장지점
4138200522,풍양농협 경매식집하장
4188200288,거금도농협경매장
4168212819,녹동농협농산물공판장
4128200738,나주배농업협동조합
4108212335,광주원예농협풍암지점
4098200315,광주원예농협
4118201281,목포원예농업협동조합
5158200978,대구경북능금농협청도지소
5068207259,대경사과원예농협포항공판장
5058210805,대구경북능금농협영천공판장
5088212933,군위농협경제사업장(공판)
6738200027,의성농협농산물공판장(공판)
5088211292,새의성농협 단촌지점(공판)
5098200240,금성농협(공판)
5098200158,의성중부농협경매식집하장(공판)
5098200181,비안농협(공판)
5088208671,의성중부농협 안평지점(공판)
5088204414,안동농협공판장
3958200199,북안동농협(공판)
5088210600,서안동농협 농산물(고추)공판장<간>
5198200024,동안동농협(공판)
5068204553,포항농협 농산물공판장
5058204356,경주농협 공판장
5058200442,신경주농협농산물공판장
5058208162,영천농협농산물공판장간이지점
5058207334,영천농협 화남지점(공판)
5158200100,경산농협공판장
5158200454,하양농협경매식집하장
1108230054,청도농협
5158201598,산서농협공판장
5108200920,초전농협집하장
5108200861,용암농협농산물공판장
5108204737,용암농협문명지점경매식집하장
5108200842,선남농협참외집하장
5108200935,월항농협경매식집하장
5108205885,성주조합공동사업법인(공판)
5108205134,성주참외원예농협공판장
5048200890,왜관농협공판장
5108204606,김천농협공판장
5138206321,구미농협공판장
5138200313,무을농협(공판)
5118200559,상주농협공판장
5118201956,상주원예농협공판장
5118204730,점촌농협경제사업소
5128204029,영주농협공판장
5128204505,풍기농협 백신<간>(판매)
5128200019,풍기인삼협동조합(공판)
6138215678,문산농협공판장(간)
6138200520,화동경매식집하장
6138207974,금산농협중천지소
6138200928,대곡농협
6138209929,대곡농협월아지점
7398200273,진주원예농협공판장
6088215244,가야농협집하장
6158201296,우포농협(공판)
6158201388,이방농협
6158201637,남지농협공판장
6088209441,창녕농협공판장
6158204838,밀양농협공판장지점
2828200194,무안농업협동조합
6158201146,청도농협경매식집하장
6108203173,서생농협구동경매식집하장
6108213119,울산원예농협공판장사업소
6228200903,대동농협 공판장
6228201047,대동농협 대중지점
6228200198,부산경남화훼원예농협경제사업장
6068207466,부산경남화훼농협 경제사업장(공판)
6158209828,영남화훼원예농협(공판)
6098206879,진해농협농산물경매식집하장
6088214207,창원원예농협 공판장지점
6128206462,새통영농협 도산지점(공판)
6128201171,통영농협 농산물공판장
6128203859,동고성농협(공판)
6128205032,고성농협 공판장
6128200508,새고성농협 하일지점(공판)
6128203975,동부농협 경매식집하장
6148202502,남해농협경매식집하장
6138210993,새남해농협경매식집하장
6138211046,새남해농협도마지점공판장(공판)
6138211013,새남해농협설천지점
6138211027,새남해농협서면지점경매식집하장
6138211051,새남해농협 중현지점
6138211032,새남해농협남상지소
6148200182,동남해농협 남면지점(공판)
6148200203,동남해농협집하장(공판)
6148201594,동남해농협상주지점(공판)
6148201556,동남해농협 미조지점(공판)
6148200237,동남해농협 삼동지점(공판)
6148200125,창선농협(공판)
6148200372,하동농협경매식집하장
6138208221,하동농협농산물집하장
6138211217,금오농협진교지점(공판)
6138204507,산청농협덕산지점
1298213796,산청군농협 농산물산지유통센터(공판)
6118204229,안의농협 서하지점(공판)
6118200053,거창농협공판장
6118204840,거창사과원예농협
6118204137,합천동부농협집하장(공판)
6198200402,서포농협(공판)
6198201338,삼천포농협농산물공판장
6168223255,제주시농협농산물공판장
